,이름,주소,평점
46,ABC마트 ST서귀포중앙점,"
제주특별자치도 서귀포시 중정로 65
(지번) 서귀동 274-4
","
별점
1.0



2건
"
47,대정농협하나로마트 무릉점,"
제주특별자치도 서귀포시 대정읍 서삼중로 105
(지번) 대정읍 무릉리 2907-1
","
별점
4.0



1건
"
48,마트로 탑동점,"
제주특별자치도 제주시 중앙로 13
(지번) 건입동 1441
","
별점
3.6



27건
"
49,남녕마트,"
제주특별자치도 제주시 남녕로 11
(지번) 노형동 1292-12
","
별점
4.0



9건
"
50,제주축산농협하나로마트 삼화점,"
제주특별자치도 제주시 건주로 45
(지번) 도련일동 1972-3
","
별점
3.7



7건
"
51,진영마트 서사라점,"
제주특별자치도 제주시 서사로 84
(지번) 삼도일동 786-2
","
별점
2.8



9건
"
52,동홍코사마트,"
제주특별자치도 서귀포시 동홍서로 108
(지번) 동홍동 89-1
","
별점
5.0



2건
"
53,제스코마트 신제주점,"
제주특별자치도 제주시 신대로 109
(지번) 연동 303-17
","
별점
3.4



14건
"
54,번영마트,"
제주특별자치도 제주시 번영로 504
(지번) 봉개동 1902
","
별점
4.3



6건
"
55,표선농협하나로마트 제주수련원점,"
제주특별자치도 서귀포시 표선면 일주동로 6337
(지번) 표선면 세화리 1569
","
별점
3.8



4건
"
56,굿모닝마트,"
제주특별자치도 제주시 한경면 명이5길 10 1층
(지번) 한경면 저지리 3010-1
","
별점
4.7



13건
"
57,ABC마트 GS신제주연동점,"
제주특별자치도 제주시 신광로 58 1층
(지번) 연동 262-8
","
별점
0.0



0건
"
58,구좌농협하나로마트 우도점,"
제주특별자치도 제주시 우도면 우도로 143
(지번) 우도면 연평리 1447-3
","
별점
4.1



7건
"
59,마트로 센트럴점,"
제주특별자치도 제주시 중앙로 346
(지번) 이도이동 1996-5
","
별점
3.3



15건
"
60,ABC마트 ST제주연동점,"
제주특별자치도 제주시 삼무로 30
(지번) 연동 261-2
","
별점
0.0



0건
"
61,뉴월드마트 신제주점,"
제주특별자치도 제주시 연동12길 3
(지번) 연동 294-2
","
별점
1.8



5건
"
62,홍마트 모슬포점,"
제주특별자치도 서귀포시 대정읍 최남단해안로 13
(지번) 대정읍 하모리 2143-3
","
별점
4.5



20건
"
63,조천농협하나로마트 신촌점,"
제주특별자치도 제주시 조천읍 신촌3길 34
(지번) 조천읍 신촌리 2220-3
","
별점
2.3



3건
"
64,제주시농협하나로마트 오라점(휴업중),"
제주특별자치도 제주시 연삼로 113
(지번) 오라삼동 2773-1
","
별점
2.8



4건
"
65,도남식자재마트,"
제주특별자치도 제주시 고산동산서길 11-2 지하1층
(지번) 이도이동 1021-4
","
별점
2.8



10건
"
66,표선농협하나로마트 가시점,"
제주특별자치도 서귀포시 표선면 중산간동로 5230
(지번) 표선면 가시리 2012-6
","
별점
3.0



2건
"
67,서귀포농협하나로마트 토평점,"
제주특별자치도 서귀포시 토평로61번길 2
(지번) 토평동 1463-1
","
별점
1.0



1건
"
68,농협하나로마트 서귀포농협천지지점,"
제주특별자치도 서귀포시 서문로29번길 26
(지번) 서귀동 319-10
","
별점
1.0



1건
"
69,하나로마트내화장품악세사리,"
제주특별자치도 제주시 조천읍 함와로 40
(지번) 조천읍 함덕리 72-4
","
별점
0.0



0건
"
70,좋은마트 애월점,"
제주특별자치도 제주시 애월읍 일주서로 6679-1
(지번) 애월읍 신엄리 2489-5
","
별점
4.9



15건
"
71,에듀시티마트,"
제주특별자치도 서귀포시 대정읍 글로벌에듀로 396
(지번) 대정읍 보성리 2476-9
","
별점
4.8



8건
"
