,이름,주소,평점
153,서경꽃마트,"
제주특별자치도 제주시 일주서로 7868
(지번) 연동 2305-5
","
별점
4.2



5건
"
154,조끄뜨레마트 연동점,"
제주특별자치도 제주시 국기로 33 1~3층
(지번) 연동 1498-1
","
별점
2.5



6건
"
155,진영마트 외도점,"
제주특별자치도 제주시 우정로15길 13
(지번) 외도일동 639-4
","
별점
3.0



2건
"
156,열린마트,"
제주특별자치도 제주시 신대로10길 44 1층
(지번) 연동 270-9
","
별점
5.0



7건
"
157,동광마트,"
제주특별자치도 서귀포시 안덕면 신화역사로 493
(지번) 안덕면 동광리 825
","
별점
0.0



0건
"
158,엘케이웨이 첨단마트,"
제주특별자치도 제주시 첨단로3길 10 1층
(지번) 영평동 2169-2
","
별점
4.1



11건
"
159,제이마트,"
제주특별자치도 제주시 정존11길 23
(지번) 노형동 2612-7
","
별점
4.4



5건
"
160,당멀마켓(마트),"
제주특별자치도 제주시 한경면 저지10길 2 당멀마켓
(지번) 한경면 저지리 2073-1
","
별점
4.0



1건
"
161,무지개마트,"
제주특별자치도 제주시 선사로 19
(지번) 삼양이동 2124-4
","
별점
0.0



0건
"
162,그린마트,"
제주특별자치도 제주시 애월읍 하귀미수동길 14
(지번) 애월읍 하귀2리 1752-1
","
별점
3.2



5건
"
163,한림항정육마트식당,"
제주특별자치도 제주시 한림읍 한림로19길 13 1층
(지번) 한림읍 한림리 1314-26
","
별점
4.2



28건
"
164,동천마트,"
제주특별자치도 제주시 동문로 10
(지번) 일도1동 1145-1
","
별점
4.5



2건
"
165,좋은마트,"
제주특별자치도 제주시 용문로12길 12
(지번) 용담이동 2706-47
","
별점
3.3



3건
"
166,삼성마트,"
제주특별자치도 제주시 서광로29길 4
(지번) 이도1동 1775-1
","
별점
4.5



4건
"
167,킹마트,"
제주특별자치도 제주시 삼무로7길 22
(지번) 연동 281-1
","
별점
5.0



1건
"
168,평화로마트,"
제주특별자치도 제주시 애월읍 평화로 2562
(지번) 애월읍 고성리 920
","
별점
0.0



0건
"
169,평화로휴게소마트,"
제주특별자치도 제주시 노형로 19
(지번) 해안동 2385
","
별점
5.0



1건
"
170,금성마트,"
제주특별자치도 제주시 한경면 용고로 89
(지번) 한경면 고산리 2825-1
","
별점
3.8



4건
"
171,펫마트 제주노형점,"
제주특별자치도 제주시 월랑로 58 1층
(지번) 노형동 1042-2
","
별점
5.0



2건
"
172,효재마트로또명당,"
제주특별자치도 서귀포시 안덕면 사계남로216번길 24-9
(지번) 안덕면 사계리 117
","
별점
0.0



0건
"
173,열쇠마트도장,"
제주특별자치도 제주시 진군1길 7
(지번) 노형동 753
","
별점
3.0



4건
"
174,제남마트,"
제주특별자치도 서귀포시 중산간동로 7735
(지번) 토평동 1277-1
","
별점
5.0



1건
"
175,우정마트,"
제주특별자치도 서귀포시 중앙로54번길 42
(지번) 서귀동 276-1
","
별점
0.0



0건
"
176,무지개마트,"
제주특별자치도 서귀포시 중산간동로 8053
(지번) 서홍동 265-6
","
별점
0.0



0건
"
177,무지개마트 인화점,"
제주특별자치도 제주시 동광로 147
(지번) 일도2동 356-20
","
별점
5.0



2건
"
178,국제마트,"
제주특별자치도 제주시 오현길 9
(지번) 이도1동 1692-2
","
별점
5.0



1건
"
179,대하마트,"
제주특별자치도 서귀포시 명동로 14
(지번) 서귀동 418-5
","
별점
3.5



4건
"
180,올레농산마트,"
제주특별자치도 서귀포시 성산읍 섭지코지로 69
(지번) 성산읍 고성리 186-3
","
별점
3.0



2건
"
181,케이마트,"
제주특별자치도 서귀포시 대정읍 동일하모로 214
(지번) 대정읍 하모리 1534-6
","
별점
5.0



2건
"
182,중문낚시마트,"
제주특별자치도 서귀포시 천제연로 273
(지번) 중문동 1880-1
","
별점
5.0



1건
"
183,농협하나로마트 제주물류센터,"
제주특별자치도 제주시 조천읍 중산간동로 880
(지번) 조천읍 와산리 1488-16
","
별점
0.0



0건
"
184,수영코사마트,"
제주특별자치도 제주시 애월읍 일주서로 6754
(지번) 애월읍 신엄리 709-1
","
별점
5.0



2건
"
185,참조은마트,"
제주특별자치도 제주시 연오로 61
(지번) 오라삼동 2995-1
","
별점
5.0



6건
"
186,다모아마트 정실점,"
제주특별자치도 제주시 아연로 155
(지번) 오라이동 779-12
","
별점
5.0



2건
"
187,일출마트 삼도점,"
제주특별자치도 제주시 서사로 151
(지번) 삼도일동 571
","
별점
5.0



1건
"
188,광고마트,"
제주특별자치도 제주시 월성로 30 1층
(지번) 용담이동 2746-1
","
별점
1.0



1건
"
189,난드르삼거리마트,"
제주특별자치도 서귀포시 안덕면 난드르로 24
(지번) 안덕면 창천리 831
","
별점
5.0



1건
"
190,그린마트 우도점,"
제주특별자치도 제주시 우도면 하고수길 12
(지번) 우도면 연평리 1360
","
별점
5.0



4건
"
191,삼다마트,"
제주특별자치도 제주시 삼봉로 129
(지번) 도련일동 1731-19
","
별점
5.0



1건
"
192,애월물류마트,"
제주특별자치도 제주시 애월읍 애월로11길 25
(지번) 애월읍 애월리 1819-29
","
별점
5.0



1건
"
193,한수위마트,"
제주특별자치도 제주시 한림읍 한림해안로 141-4
(지번) 한림읍 한림리 1328-17
","
별점
4.0



1건
"
194,모노마트 제주점,"
제주특별자치도 제주시 노연로 17
(지번) 노형동 912-6
","
별점
5.0



2건
"
195,세계로마트 도남점,"
제주특별자치도 제주시 신성로 72
(지번) 도남동 52-1
","
별점
0.0



0건
"
196,동부물류마트,"
제주특별자치도 제주시 구좌읍 구좌로 16
(지번) 구좌읍 세화리 1531-4
","
별점
0.0



0건
"
197,해성정육마트,"
제주특별자치도 서귀포시 천제연로 154
(지번) 중문동 2184-4
","
별점
3.3



6건
"
198,무지개플러스마트,"
제주특별자치도 제주시 화삼로 17
(지번) 화북일동 1023-7
","
별점
4.2



5건
"
199,나이스마트,"
제주특별자치도 제주시 남녕로 53
(지번) 노형동 1046-16
","
별점
1.0



1건
"
200,종달마트,"
제주특별자치도 제주시 구좌읍 세종로 353
(지번) 구좌읍 종달리 2764-17
","
별점
0.0



0건
"
201,뉴월드마트,"
제주특별자치도 제주시 노연로 129
(지번) 연동 293-16
","
별점
0.0



0건
"
202,무지개마트,"
제주특별자치도 서귀포시 중앙로42번길 19
(지번) 서귀동 275-26
","
별점
0.0



0건
"
203,우리올레마트,"
제주특별자치도 제주시 구남동8길 58
(지번) 아라일동 6034-4
","
별점
5.0



1건
"
204,제주명함마트,"
제주특별자치도 제주시 동광로19길 55 하나프라자 105호
(지번) 일도2동 133-10
","
별점
0.0



0건
"
205,창호유리마트,"
제주특별자치도 제주시 동광로 197
(지번) 건입동 621
","
별점
0.0



0건
"
206,행복마트,"
제주특별자치도 제주시 고마로 60
(지번) 일도2동 354
","
별점
0.0



0건
"
207,홍마트 한림점,"
제주특별자치도 제주시 한림읍 한림중앙로 30 1층
(지번) 한림읍 한림리 942-2
","
별점
2.3



3건
"
208,화북주공마트,"
제주특별자치도 제주시 동화로1길 33
(지번) 화북일동 9-3
","
별점
0.0



0건
"
209,제스코마트 신제주점 주차장,"
제주특별자치도 제주시 신대로 109
(지번) 연동 303-17
","
별점
0.0



0건
"
210,펫마트 제주도남점,"
제주특별자치도 제주시 도남로 89 1층
(지번) 도남동 82-3
","
별점
5.0



6건
"
211,신촌마트,"
제주특별자치도 제주시 조천읍 신북로 42
(지번) 조천읍 신촌리 1818
","
별점
5.0



1건
"
212,그린마트 신제주,"
제주특별자치도 제주시 신광로1길 10
(지번) 연동 290-2
","
별점
0.0



0건
"
