,이름,주소,평점
47,신한은행 제주공항출장소,"
제주특별자치도 제주시 공항로 2 제주국제공항청사
(지번) 용담이동 2002
","
별점
0.0



0건
"
48,NH농협은행 제주시청출장소,"
제주특별자치도 제주시 광양9길 10
(지번) 이도이동 1176-1
","
별점
0.0



0건
"
49,제주은행 외도지점,"
제주특별자치도 제주시 우정로 50 1층
(지번) 외도일동 498-9
","
별점
0.0



0건
"
50,제주은행 서귀포금융센터,"
제주특별자치도 서귀포시 중정로 67
(지번) 서귀동 274-5
","
별점
5.0



1건
"
51,제주은행 연북로지점,"
제주특별자치도 제주시 연북로 54
(지번) 노형동 726-4
","
별점
5.0



1건
"
52,제주은행 연동지점,"
제주특별자치도 제주시 신광로 49
(지번) 연동 273-3
","
별점
0.0



0건
"
53,제주은행 한림지점,"
제주특별자치도 제주시 한림읍 한림로 667
(지번) 한림읍 한림리 1218-1
","
별점
0.0



0건
"
54,제주은행 삼화점,"
제주특별자치도 제주시 건주로 27
(지번) 도련일동 1937-1
","
별점
3.0



1건
"
55,신제주새마을금고 본점,"
제주특별자치도 제주시 연동11길 14
(지번) 연동 282-31
","
별점
0.0



0건
"
56,제주은행 아라지점,"
제주특별자치도 제주시 중앙로 545 2층
(지번) 아라일동 6105-3
","
별점
0.0



0건
"
57,한국은행 제주본부,"
제주특별자치도 제주시 복지로1길 20
(지번) 도남동 669-1
","
별점
0.0



0건
"
58,제주은행 남문지점,"
제주특별자치도 제주시 중앙로 177
(지번) 이도일동 1289-6
","
별점
0.0



0건
"
59,제주은행 표선지점,"
제주특별자치도 서귀포시 표선면 표선동서로 259
(지번) 표선면 표선리 596-1
","
별점
0.0



0건
"
60,아라새마을금고 본점,"
제주특별자치도 제주시 중앙로 587
(지번) 아라일동 6139-3
","
별점
5.0



1건
"
61,NH농협은행 정부제주지방합동청사출장소,"
제주특별자치도 제주시 청사로 59 정부제주지방합동청사 내 1층
(지번) 도남동 662
","
별점
0.0



0건
"
62,용담새마을금고 본점,"
제주특별자치도 제주시 용담로 128
(지번) 용담일동 231-9
","
별점
0.0



0건
"
63,제주은행 서광로지점,"
제주특별자치도 제주시 서광로 175
(지번) 용담일동 2829-14
","
별점
1.0



2건
"
64,제주은행 화북금융센터,"
제주특별자치도 제주시 일주동로 241
(지번) 화북일동 1239-6
","
별점
0.0



0건
"
65,서귀포새마을금고 본점,"
제주특별자치도 서귀포시 중앙로 42
(지번) 서귀동 292-19
","
별점
0.0



0건
"
66,제주서부새마을금고 본점,"
제주특별자치도 제주시 우정로 32
(지번) 외도일동 475-10
","
별점
4.0



1건
"
67,호남새마을금고 본점,"
제주특별자치도 제주시 오현길 69
(지번) 이도일동 1421-13
","
별점
0.0



0건
"
68,우정새마을금고 연북로지점,"
제주특별자치도 제주시 연북로 567 1층
(지번) 이도이동 2019-5
","
별점
0.0



0건
"
69,제주은행 노형뉴타운지점,"
제주특별자치도 제주시 수덕로 49 인당빌딩 1층
(지번) 노형동 2529-4
","
별점
0.0



0건
"
70,호근새마을금고 본점,"
제주특별자치도 서귀포시 호근서호로 123
(지번) 호근동 1764-2
","
별점
5.0



1건
"
71,제주은행 서문지점,"
제주특별자치도 제주시 관덕로 5
(지번) 삼도이동 1222-4
","
별점
0.0



0건
"
72,제주은행 동홍동지점,"
제주특별자치도 서귀포시 일주동로 8560 1층
(지번) 동홍동 498-1
","
별점
1.0



1건
"
73,동문새마을금고 본점,"
제주특별자치도 제주시 중앙로13길 34
(지번) 일도일동 1100-13
","
별점
5.0



1건
"
74,제주은행 모슬포지점,"
제주특별자치도 서귀포시 대정읍 신영로 75 2층
(지번) 대정읍 하모리 1048-1
","
별점
5.0



1건
"
75,KDB산업은행 제주지점,"
제주특별자치도 제주시 신형로 51
(지번) 노형동 3784-8
","
별점
0.0



0건
"
76,제주새마을금고 본점,"
제주특별자치도 제주시 고마로 49
(지번) 일도이동 329-5
","
별점
1.0



4건
"
77,산남새마을금고 본점,"
제주특별자치도 서귀포시 일주동로 8558
(지번) 동홍동 498-2
","
별점
0.0



0건
"
78,제주은행 공항지점,"
제주특별자치도 제주시 공항로 2 1층 4번게이트
(지번) 용담이동 2002
","
별점
3.8



4건
"
79,제주은행 성산지점,"
제주특별자치도 서귀포시 성산읍 고성오조로 62
(지번) 성산읍 고성리 298-21
","
별점
5.0



1건
"
